label,value,standard_error,expression,maximum,minimum,non_negative,vary
inputs.s1,0.0,None,None,,,False,False
inputs.s2,1.0,None,None,,,False,False
rates.k1,0.21,None,None,,,True,True
rates.k2,0.1955,None,None,,,True,True
rates.k3,0.087,None,None,,,True,False
rates.k4,0.267,None,None,,,True,True
rates.k5,0.0064,None,None,,,True,True
rates.k6,1.3e-06,None,None,,,True,True
area.1,3.4634,None,None,,,False,False
rel.r1,1.0,None,None,,,False,False
scale.1,1.0,None,None,,,False,False
scale.2,0.862,None,None,,,False,True
irf.center,-0.00100000005,None,None,,,False,False
irf.width,0.000415255752,None,None,,,False,False
